Node,In-Degree,Out-Degree,Closeness,Betweenness,PageRank
30,23,5,0.21218945450050716,5.883161492398608e-05,0.00017349553934328338
1412,29,0,0.20096744343990244,0.0,0.0008141761230496596
3352,264,273,0.2749800521802086,0.004332431860968848,0.0017851250122027217
5254,265,33,0.2765668276533207,0.0015282548705498615,0.0021500675059293226
5543,145,137,0.2617711511371707,0.0022015841120237435,0.0010508052619841283
7478,92,0,0.2492828121936495,0.0,0.000812430352613478
3,31,23,0.18439152655568392,6.987222987128784e-05,0.00020539498232448021
28,122,133,0.22651198554228885,0.004563992520641177,0.0016986730322136935
39,28,41,0.202127808023246,0.0005066527929450625,0.0003439790689580259
54,40,7,0.2178527860949846,0.00010591081529808075,0.00034765464971898025
108,11,2,0.17302387343283973,1.0410893008589586e-06,0.0004398371153454517
152,51,21,0.22540571657461173,0.00036799428895348957,0.0005817197428805889
178,35,63,0.20126810646010201,0.0004441603056546299,0.00029758488331950184
182,32,79,0.19932571630978063,0.0004147667595808903,0.00016083873728146714
214,175,0,0.2570794745051034,0.0,0.0016599199669365457
271,192,0,0.2281035961164275,0.0,0.0013349240914416604
286,19,0,0.19094270229855853,0.0,0.00017367757770305088
300,22,0,0.18414514585748032,0.0,0.00015065607046072744
348,35,21,0.19394831695927034,0.00012177700731553722,0.00017393564565284635
349,15,1,0.17291983021369792,3.8921429685063013e-07,9.460415271381966e-05
371,24,117,0.19808996446534205,0.0005361097081206595,0.0002892903392357495
567,26,2,0.1990285795341498,0.00019076257128639143,0.00033152691295165287
581,12,0,0.17424422341795495,0.0,0.00010905154270480289
584,14,5,0.19866895941913884,1.4274862369768004e-05,0.00022615441013923313
586,10,13,0.19749346554968225,1.8027780459121286e-05,0.00010518825019481072
590,32,8,0.20027610679256055,3.4823435627436097e-05,0.00019458075864204938
604,13,8,0.17612974366972606,5.744699889345781e-05,0.00018151640169193398
611,25,0,0.195569995095922,0.0,0.0002164090559846353
8283,10,0,0.19002102368881496,0.0,0.0003287923832617068
25,0,90,0.0,0.0,5.0487823458630175e-05
6,20,302,0.19008256517973945,0.0015726923721193398,0.00031183250978437466
8,44,182,0.21884754767532696,0.00395518511682223,0.00032663557615950425
19,22,39,0.176871395220947,6.783210664008847e-05,0.00013112179292607275
23,22,74,0.21538018144782714,0.0007775047859401168,0.0001712239063742033
29,41,150,0.19181865715993307,0.0008644948077292854,0.00018490986415744417
33,34,24,0.21841281896412335,0.00042169279913105044,0.0003386160040196026
35,110,65,0.22354564428571044,0.0014538217483815185,0.0007007673625519547
50,32,14,0.19774418457497672,0.0003268565168456106,0.00040784053278751845
55,67,64,0.2180433834581473,0.001681653496654194,0.0009495051440874037
75,69,31,0.1976291927146297,0.0005292092555236193,0.000479382955791831
80,43,59,0.1800488276930085,0.00030721454434127127,0.0002831018285651443
86,108,122,0.2117687537183445,0.0017861823349649775,0.0008513640893173855
94,27,80,0.1773665042173903,0.0003278756469750899,0.0002738669766492548
127,19,132,0.17632080980048748,0.00035116040664856654,9.816867983077857e-05
154,18,61,0.17831403812973695,0.00015812774701967345,0.00011657540422981118
192,27,19,0.19014057318498223,0.00016810622784433688,0.00023696930657024585
224,18,13,0.17640401139061607,1.049860208826137e-05,0.00010737291762504586
226,21,25,0.20695049874833565,0.0001606873919734607,0.00018632856798393794
246,23,1,0.212769141114965,7.75023135788151e-05,0.0001397464696216348
252,38,0,0.1791694422085741,0.0,0.00017693558073974
255,26,86,0.1889297927624165,0.00030119156343354285,0.00016496664840568207
257,25,8,0.18461006466123137,6.0429644353144084e-05,0.00017660864590929976
261,24,8,0.20432629041265496,7.395544434050114e-05,0.00014828212153625845
273,13,7,0.1773580894482368,8.975293043077866e-06,0.00011576263040134176
280,22,76,0.1863771965993586,0.00026457428629273947,0.00021388151591968753
282,101,39,0.210303432121396,0.0010093943784157343,0.0010828961137115444
299,158,0,0.2351957691814519,0.0,0.001111572236198922
302,24,13,0.17504934488621163,7.143973123372383e-05,0.00017448484875268083
306,22,244,0.18539743153094304,0.00037763060672921835,9.712342096658833e-05
308,41,142,0.19323652483148637,0.00039758528847881695,0.00018140383955900965
310,43,230,0.19262914460709718,0.000993641090472219,0.0002879791021770649
322,43,0,0.20336364520137992,0.0,0.00030999428223364787
325,45,25,0.2018222647189945,0.00016952289829889083,0.00020042296035987264
339,20,80,0.1827420349704226,0.00019870853296203293,0.00013270127106662598
356,43,18,0.20634507972566843,0.0002564951088222015,0.00035770673812582685
358,12,0,0.17364552942469086,0.0,0.00010765458423263136
363,18,3,0.17262439090274914,0.00011971708687679571,0.0002897276440484437
370,45,0,0.20430837757956966,0.0,0.00044807025055352683
373,20,0,0.18587873343212002,0.0,0.00017604318569267916
377,28,0,0.18274924444756818,0.0,0.00017137439056381863
379,21,0,0.18321593999703936,0.0,0.00010226684535647772
407,135,145,0.23290472926234723,0.0021846677025210465,0.0009321590642571336
415,66,4,0.22200568973157167,0.0001076439216378594,0.0003924598829695656
422,16,0,0.20530323711130694,0.0,0.00014939508244790067
428,22,0,0.1807629062409767,0.0,0.00015736396959121953
439,70,8,0.22038282198844164,7.786380451931725e-05,0.000430292854569774
488,22,4,0.18372094600894118,2.4287335741887255e-06,0.00010721356495180244
514,20,0,0.2057216543596716,0.0,0.00027388368569639826
